cust_id,call_date,age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome
cust_000006,2018-10-16,50,blue_collar,married,secondary,no,1329,yes,yes,telephone,4,jul,2,-1,0,unknown
cust_000007,2018-07-22,29,blue_collar,single,primary,no,343,no,no,cellular,4,jul,2,-1,0,unknown
cust_000010,2018-07-17,36,technician,single,secondary,no,-272,no,yes,cellular,4,jul,6,-1,0,unknown
cust_000011,2018-08-29,32,blue_collar,divorced,primary,no,4805,no,yes,cellular,4,jul,3,-1,0,unknown
cust_000012,2019-02-08,44,technician,married,tertiary,no,1146,no,no,cellular,4,jul,2,-1,0,unknown
cust_000013,2018-12-27,37,blue_collar,married,primary,no,380,yes,yes,cellular,4,jul,2,-1,0,unknown
cust_000018,2018-06-19,33,technician,single,secondary,no,555,no,yes,cellular,4,jul,2,-1,0,unknown
cust_000022,2018-05-16,30,services,married,secondary,no,137,no,no,cellular,4,jul,1,-1,0,unknown
cust_000024,2018-07-11,35,admin,divorced,secondary,no,534,no,no,cellular,7,jul,3,-1,0,unknown
cust_000032,2018-10-17,59,entrepreneur,married,tertiary,no,1728,no,no,cellular,7,jul,2,-1,0,unknown
cust_000039,2019-03-19,47,blue_collar,married,primary,yes,25,yes,yes,cellular,7,jul,3,-1,0,unknown
cust_000042,2018-05-27,41,services,married,secondary,no,650,yes,no,cellular,7,jul,5,-1,0,unknown
cust_000043,2019-05-03,41,housemaid,married,primary,no,1618,yes,no,cellular,7,jul,2,-1,0,unknown
cust_000051,2018-05-25,41,services,married,secondary,no,841,yes,no,cellular,7,jul,2,-1,0,unknown
cust_000053,2018-10-02,43,management,divorced,secondary,no,0,no,no,cellular,7,jul,3,-1,0,unknown
cust_000055,2019-02-11,49,technician,married,primary,no,486,no,no,telephone,7,jul,5,-1,0,unknown
cust_000065,2018-06-02,41,blue_collar,married,primary,no,484,yes,no,cellular,7,jul,3,-1,0,unknown
cust_000071,2019-04-07,59,admin,married,secondary,no,1914,yes,no,cellular,7,jul,3,-1,0,unknown
cust_000073,2019-01-23,27,admin,single,secondary,no,450,yes,no,cellular,7,jul,3,-1,0,unknown
cust_000076,2019-02-06,37,self_employed,married,secondary,no,1523,no,yes,cellular,7,jul,2,-1,0,unknown
cust_000077,2018-09-07,42,blue_collar,divorced,secondary,no,3407,no,no,cellular,7,jul,2,-1,0,unknown
cust_000085,2018-12-03,44,blue_collar,married,primary,no,2,no,yes,telephone,7,jul,2,-1,0,unknown
cust_000093,2018-11-25,37,self_employed,married,secondary,no,1633,no,no,cellular,7,jul,2,-1,0,unknown
cust_000094,2018-10-19,48,management,married,tertiary,no,666,yes,no,cellular,7,jul,6,-1,0,unknown
cust_000095,2018-08-27,30,services,married,secondary,no,-134,yes,yes,cellular,7,jul,1,-1,0,unknown
cust_000096,2018-09-29,35,self_employed,married,secondary,no,0,yes,no,telephone,7,jul,4,-1,0,unknown
cust_000099,2018-05-28,52,retired,married,tertiary,no,493,no,no,cellular,7,jul,6,-1,0,unknown
cust_000105,2018-11-20,46,blue_collar,married,secondary,no,4044,no,no,cellular,7,jul,3,-1,0,unknown
cust_000108,2018-08-02,29,admin,married,secondary,no,488,no,yes,cellular,7,jul,1,-1,0,unknown
cust_000117,2019-03-11,45,services,divorced,secondary,no,88,no,yes,cellular,7,jul,1,-1,0,unknown
cust_000121,2018-09-01,43,management,married,tertiary,no,460,no,yes,cellular,7,jul,1,-1,0,unknown
cust_000123,2018-09-10,28,housemaid,single,primary,no,332,no,no,cellular,7,jul,1,-1,0,unknown
cust_000125,2018-06-22,56,management,married,primary,no,21,no,no,cellular,7,jul,1,-1,0,unknown
cust_000145,2018-07-21,37,admin,single,secondary,no,-117,no,yes,cellular,7,jul,1,-1,0,unknown
cust_000146,2019-03-17,51,retired,married,secondary,no,3003,yes,no,cellular,7,jul,3,-1,0,unknown
cust_000148,2019-01-04,49,blue_collar,married,primary,no,-167,no,no,cellular,7,jul,1,-1,0,unknown
cust_000150,2018-06-27,26,blue_collar,single,secondary,no,428,no,yes,cellular,7,jul,1,-1,0,unknown
cust_000151,2019-04-19,27,management,married,tertiary,no,54,yes,yes,cellular,7,jul,1,-1,0,unknown
cust_000155,2018-10-05,35,services,divorced,secondary,no,35,yes,no,cellular,7,jul,4,-1,0,unknown
cust_000157,2018-06-20,33,services,single,secondary,no,149,no,yes,cellular,7,jul,1,-1,0,unknown
cust_000164,2018-08-23,26,blue_collar,single,secondary,no,123,no,yes,cellular,7,jul,1,-1,0,unknown
cust_000169,2019-01-24,40,management,married,tertiary,no,0,no,no,cellular,7,jul,1,-1,0,unknown
cust_000172,2019-03-03,30,blue_collar,single,secondary,no,-42,no,no,cellular,7,jul,2,-1,0,unknown
cust_000178,2018-11-24,29,technician,married,secondary,no,-28,no,no,cellular,7,jul,1,-1,0,unknown
cust_000185,2019-05-01,35,entrepreneur,married,primary,yes,25,no,yes,cellular,7,jul,1,-1,0,unknown
cust_000191,2018-10-20,59,management,single,tertiary,no,623,yes,no,cellular,7,jul,4,-1,0,unknown
cust_000193,2018-12-06,33,blue_collar,married,secondary,no,1834,yes,no,cellular,7,jul,3,-1,0,unknown
cust_000203,2018-09-19,47,housemaid,married,tertiary,no,333,no,no,telephone,7,jul,1,-1,0,unknown
cust_000208,2019-04-11,28,blue_collar,married,primary,no,-196,no,no,cellular,7,jul,1,-1,0,unknown
cust_000216,2019-04-17,45,blue_collar,married,secondary,no,226,no,no,telephone,7,jul,2,-1,0,unknown
cust_000218,2018-07-28,32,admin,single,secondary,no,212,no,no,cellular,7,jul,5,-1,0,unknown
cust_000219,2018-12-02,52,blue_collar,married,primary,no,9444,no,no,cellular,7,jul,3,-1,0,unknown
cust_000227,2019-01-09,26,blue_collar,single,secondary,yes,-8019,no,yes,cellular,7,jul,3,-1,0,unknown
cust_000231,2018-10-03,39,services,married,secondary,no,27,no,yes,cellular,7,jul,1,-1,0,unknown
cust_000232,2019-01-25,31,technician,single,secondary,no,49,yes,no,cellular,7,jul,1,-1,0,unknown
cust_000237,2018-10-31,54,housemaid,married,secondary,no,0,no,yes,cellular,7,jul,1,-1,0,unknown
cust_000239,2018-09-02,58,entrepreneur,married,primary,no,124,yes,no,cellular,7,jul,7,-1,0,unknown
cust_000249,2018-10-12,38,blue_collar,married,primary,no,433,no,no,cellular,7,jul,3,-1,0,unknown
cust_000255,2018-06-15,31,admin,single,tertiary,no,383,no,yes,cellular,7,jul,1,-1,0,unknown
cust_000258,2018-06-17,29,blue_collar,married,secondary,no,-305,yes,yes,cellular,7,jul,1,-1,0,unknown
cust_000260,2018-12-30,39,services,married,secondary,no,0,no,no,cellular,7,jul,5,-1,0,unknown
cust_000268,2019-01-27,30,technician,married,tertiary,no,101,yes,yes,cellular,7,jul,3,-1,0,unknown
cust_000276,2019-01-13,31,technician,single,secondary,no,9,no,no,cellular,7,jul,2,-1,0,unknown
cust_000277,2018-07-31,50,entrepreneur,divorced,tertiary,no,223,no,no,cellular,7,jul,5,-1,0,unknown
cust_000282,2018-09-06,30,admin,single,secondary,no,52,no,yes,cellular,7,jul,1,-1,0,unknown
cust_000286,2019-03-29,35,blue_collar,single,secondary,no,1688,yes,no,telephone,7,jul,4,-1,0,unknown
cust_000288,2019-02-12,27,blue_collar,married,secondary,no,102,no,yes,cellular,7,jul,2,-1,0,unknown
cust_000301,2018-08-23,28,self_employed,married,secondary,no,-228,yes,yes,cellular,7,jul,3,-1,0,unknown
cust_000302,2018-09-09,43,blue_collar,married,primary,no,8,no,no,telephone,7,jul,5,-1,0,unknown
cust_000305,2018-11-15,43,entrepreneur,single,tertiary,no,42,no,no,cellular,7,jul,1,-1,0,unknown
cust_000318,2019-02-21,30,services,single,secondary,no,148,no,yes,cellular,7,jul,3,-1,0,unknown
cust_000320,2019-01-04,28,student,single,secondary,no,305,no,no,cellular,7,jul,1,-1,0,unknown
cust_000321,2018-08-05,31,entrepreneur,divorced,tertiary,no,2,no,yes,cellular,7,jul,1,-1,0,unknown
cust_000322,2018-08-22,36,blue_collar,married,secondary,no,-308,yes,no,cellular,7,jul,11,-1,0,unknown
cust_000328,2018-12-12,50,technician,married,tertiary,no,92,no,yes,cellular,7,jul,1,-1,0,unknown
cust_000329,2018-12-24,50,blue_collar,divorced,primary,no,5,no,no,cellular,7,jul,1,-1,0,unknown
cust_000330,2018-09-28,33,admin,married,tertiary,no,568,no,no,cellular,7,jul,1,-1,0,unknown
cust_000337,2018-12-23,26,entrepreneur,married,secondary,no,-306,no,yes,cellular,8,jul,1,-1,0,unknown
