cust_id,call_date,age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,y
cust_000001,2018-11-09,27,management,single,secondary,no,35,no,no,cellular,4,jul,1,-1,0,unknown,no
cust_000002,2018-11-16,54,blue_collar,married,primary,no,466,no,no,cellular,4,jul,1,-1,0,unknown,no
cust_000003,2018-12-08,43,blue_collar,married,secondary,no,105,no,yes,cellular,4,jul,2,-1,0,unknown,no
cust_000004,2019-02-10,31,technician,single,secondary,no,19,no,no,telephone,4,jul,2,-1,0,unknown,no
cust_000005,2018-09-17,27,technician,single,secondary,no,126,yes,yes,cellular,4,jul,4,-1,0,unknown,no
cust_000008,2019-01-09,25,blue_collar,single,secondary,no,192,no,no,telephone,4,jul,2,-1,0,unknown,no
cust_000009,2018-06-12,38,blue_collar,married,secondary,no,43,no,yes,cellular,4,jul,3,-1,0,unknown,no
cust_000014,2019-02-09,48,services,married,secondary,no,1355,no,no,cellular,4,jul,2,-1,0,unknown,no
cust_000015,2019-03-11,30,admin,married,secondary,no,215,no,yes,cellular,4,jul,2,-1,0,unknown,no
cust_000016,2018-10-04,54,technician,married,secondary,no,187,no,yes,cellular,4,jul,3,-1,0,unknown,no
cust_000017,2019-04-18,36,unemployed,divorced,primary,no,0,no,no,telephone,4,jul,3,-1,0,unknown,no
cust_000019,2019-01-03,34,services,married,secondary,no,295,yes,yes,cellular,4,jul,1,-1,0,unknown,no
cust_000020,2018-09-03,28,services,single,secondary,no,-116,no,yes,cellular,4,jul,1,-1,0,unknown,no
cust_000021,2019-01-28,33,management,married,secondary,no,4385,no,yes,cellular,4,jul,1,-1,0,unknown,no
cust_000023,2018-05-31,34,admin,single,secondary,no,296,no,no,cellular,7,jul,4,-1,0,unknown,no
cust_000025,2018-09-17,44,entrepreneur,married,secondary,no,93,no,no,cellular,7,jul,2,-1,0,unknown,no
cust_000026,2018-06-01,36,services,married,secondary,no,-27,yes,yes,cellular,7,jul,4,-1,0,unknown,no
cust_000027,2019-03-28,49,blue_collar,married,primary,no,-157,yes,no,cellular,7,jul,3,-1,0,unknown,yes
cust_000028,2018-07-21,55,blue_collar,married,secondary,no,49,yes,no,cellular,7,jul,4,-1,0,unknown,yes
cust_000029,2018-07-27,51,technician,married,secondary,no,216,no,no,cellular,7,jul,2,-1,0,unknown,yes
cust_000030,2018-06-03,51,management,married,tertiary,no,1421,yes,no,cellular,7,jul,5,-1,0,unknown,no
cust_000031,2019-01-10,38,blue_collar,married,secondary,no,222,yes,yes,cellular,7,jul,5,-1,0,unknown,no
cust_000033,2018-10-03,43,management,single,tertiary,no,47,yes,no,cellular,7,jul,5,-1,0,unknown,no
cust_000034,2019-01-17,60,entrepreneur,divorced,primary,no,2648,no,no,cellular,7,jul,2,-1,0,unknown,no
cust_000035,2018-08-01,34,services,married,secondary,no,0,no,no,cellular,7,jul,3,-1,0,unknown,no
cust_000036,2018-12-10,31,admin,single,secondary,no,-182,yes,no,cellular,7,jul,2,-1,0,unknown,no
